PatronBusqueda,MultiTienda,Descripcion,Precio,PrecioUF
notebook hp,Ripley,NOTEBOOK HP 245 G7 AMD RYZEN 5-3500 8GB 256 GB SSD W10 PRO,439900,12.19
notebook hp,Ripley,NOTEBOOK HP 240 G8 I5-1035G1 1TB HDD 4GB 14IN W10 HOME,562590,15.59
notebook hp,Ripley,HP NOTEBOOK 250G8 CI5 8GB 256SSD 15.6' SIN SISTEMA OPERATIVO,405865,11.25
notebook hp,Ripley,NOTEBOOK HP PROBOOK 440 G9 I7-1255U 8GB 512GB SSD W11 PRO,999900,27.71
notebook hp,Ripley,NOTEBOOK HP ELITEBOOK 845 G8 R5 5600U 8GB 512SSD WIND 10 PRO + REGALO AUDÍFONO GAMER,1399990,38.8
notebook hp,Ripley,NOTEBOOK HP ELITEBOOK X360 1030 G8 TACTIL I7-1165G7 16GB 512GB SSD W10 PRO,2072900,57.45
notebook hp,Ripley,NOTEBOOK HP 245 G8 RYZEN5 8GB SSD 256GB 14IN W10P ,565990,15.69
notebook hp,Ripley,NOTEBOOK HP PROBOOK 440 G9 I5-1235U 8GB 512GB SSD W11 PRO,863900,23.94
notebook hp,Ripley,NOTEBOOK HP PROBOOK 450 G9 I5-1235U 8GB 512GB SSD W11 PRO,855900,23.72
notebook hp,Ripley,NOTEBOOK HP ELITEBOOK 840 G8 I7-1165G7 8GB 512GB SSD WIN11 PRO,1298900,36.0
notebook hp,Ripley,HP 240 G8 14' I3-1115G4 8GB RAM 256GB SSD WIN10 PRO,883990,24.5
notebook hp,Ripley,NOTEBOOK HP ZBOOK POWER G8 15.6 CI7-11800H 16GB 1 TB SSD WIN10 PRO,1750990,48.52
notebook hp,Ripley,NOTEBOOK HP 250 G8 I5-1135G7 8GB 256GB 15INC W11HOME,439990,12.19
notebook hp,Ripley,NOTEBOOK HP PROBOOK 635 AERO 13S R75800U 8GB SSD 512GB W10P,980990,27.19
notebook hp,Ripley,NOTEBOOK HP ZBOOK POWER G8 15.6 PULG CORE I7-11800H 16GB SSD 1TB T600 4GB WIN. 10 PRO | HP,1789990,49.61
notebook hp,Ripley,NOTEBOOK HP ZBOOK POWER G8 15.6 PULG CORE I9-11900H T1200-4G 16G 1T SSD W10 PRO 64 | HP,2099990,58.2
notebook hp,Ripley,NOTEBOOK HP 255 G8 RYZEN 5 5500U 8GB 256 GB SSD 15.6IN W11H,489990,13.58
notebook hp,Ripley,"HP NOTEBOOK 250 G8 I7 8GB 256GB 15,6 SIN SISTEMA OPERATIVO",508050,14.08
notebook hp,Ripley,HP NOTEBOOK 240 G8 I5 8GB 512GB SSD 14' WIN11 HOME 59C86LT,484491,13.43
notebook hp,Ripley,NOTEBOOK HP 240 G8 INTEL CORE I5-1135G7 8GB 256GB SSD 14IN W11P,599990,16.63
notebook hp,Ripley,NOTEBOOK HP 240 G8 CI3-1115G4 8GB RAM 512GB SSD,349990,9.7
notebook hp,Ripley,NOTEBOOK HP ZBOOK STUDIO G8 15.6'' CORE I9-11950H 32GB SSD 512GB RTX A3000 6GB W10P,2399990,66.51
notebook hp,Ripley,"NOTEBOOK HP PROBOOK 445 G7 AMD RYZEN 5 14' - 8GB RAM, 256GB SSD, WIN10PRO",699990,19.4
notebook hp,Ripley,NOTEBOOK HP 240 G8 I5-1135G7 8GB 256GB SSD W11 PRO,602900,16.71
notebook hp,Ripley,NOTEBOOK HP 240 G8 I3-1115G4 8GB 256GB SSD WIN10PRO,858900,23.8
notebook hp,Ripley,HP PAVILION X360 CONVERTIBLE 14-DY0011LA/8GB RAM/512GB SSD/14'',824990,22.86
notebook hp,Ripley,NOTEBOOK ELITEBOOK HP 845 G8 RYZEN7 5800U 16GB  512GB SSD W10PRO,1132900,31.4
notebook hp,Ripley,NOTEBOOK GAMER HP OMEN 16-C0502LA R7 5800H 8GB 512GB SSD W11H RTX3050 | HP,1379990,38.24
notebook hp,Ripley,NOTEBOOK HP GAMER OMEN 16-C0500LA R9 5900H 32GB 1TB PCIE W11H RX6600M 8GB,1589990,44.06
notebook hp,Ripley,NOTEBOOK HP PAVILION 15-EH1505LA R5-5500U 8GB 512GB SSD W11H | HP,759990,21.06
notebook hp,Ripley,NOTEBOOK HP PAVILION 14-DV2002LA INTEL CORE I5 8GB 512GB SSD W11 | HP,849990,23.56
notebook hp,Ripley,NOTEBOOK HP 250 G8 I5-1135G7 8GB 256GB SSD W11 PRO,801900,22.22
notebook hp,Ripley,NOTEBOOK HP ELITEBOOK 840 G8 I5-1135G7 16GB 512GB SSD W11 PRO,1108900,30.73
notebook hp,Ripley,NOTEBOOK HP 250 G8 I7-1165G7 8GB 256GB SSD 15IN SIN WINDOWS,529990,14.69
notebook hp,Ripley,NOTEBOOK HP 240 G8 I5-1135G7 RAM 8GB SSD 256GB LED 14 HD W11 HOME,449990,12.47
notebook hp,Ripley,NOTEBOOK HP PAVILION 15-EH1503LA AMD R7-5700U 8GB 512GB 15 PULG HD W11H,859990,23.83
notebook hp,Ripley,NOTEBOOK HP PROBOOK 445G8 R3 5400U 8GB SSD 256GB WIN10 PRO,439990,12.19
notebook hp,Ripley,NOTEBOOK HP PROBOOK 445G8 R5 5600U 8GB SSD 512GB W10 PRO,689990,19.12
notebook hp,Ripley,NOTEBOOK HP 15-EF2528LA R5-5500U 8GB SSD 512GB SSD W11H | HP,659990,18.29
notebook hp,Ripley,NOTEBOOK HP 250 G7 I3-1005 4GB 1TB 15.6 WINDOWS® 10 HOME,540990,14.99
notebook hp,Ripley,HP NOTEBOOK 250G8 I315.6 8GB 256GB SSD SIN SISTEMA OPERATIVO,294491,8.16
notebook hp,Ripley,NOTEBOOK HP G7 240 INTEL I3-10TH /1TB/ FREE DOS /14',359990,9.98
notebook hp,Ripley,NOTEBOOK HP 14' HD FLAT N5030 4GB/128SSD/WIN10,359990,9.98
notebook hp,Ripley,NOTEBOOK HP 14-FQ1007LA AMD RYZEN3 8GB RAM 256GB SSD,449990,12.47
notebook hp,Ripley,NOTEBOOK HP 15-DY2508LA INTEL CORE I3 8 GB 512 GB SSD,399990,11.08
notebook hp,Ripley,NOTEBOOK HP 14-DV2002LA INTEL CORE I5 8GB RAM 512GB SSD,699990,19.4
notebook hp,Ripley,NOTEBOOK HP 15-DY2501LA CORE I3 8GB RAM 512GB,429990,11.92
notebook hp,Ripley,NOTEBOOK HP PAVILION X360 CONVERTIBLE 14-DY0501LA / INTEL CORE I3 / 8 GB RAM / 256 GB SSD / 14',399990,11.08
notebook hp,Ripley,"HP VICTUS 16-D0501LA / INTEL CORE I7 / 8GB RAM / 512GB SSD / NVIDIA GEFORCE RTX 3060 / 16,1'",1199990,33.25
notebook hp,Ripley,NOTEBOOK HP PROBOOK 445 G8 RYZEN5 5600U 8GB SSD 512GB,799990,22.17
notebook hp,Ripley,NOTEBOOK HP GAMER OMEN 16-C0506LA R7 5800H 16GB 512GB SSD W11H RX6600M 8GB,1369990,37.97
notebook hp,Ripley,NOTEBOOK HP PAVILION AERO 13-BE0502LA R7 16GB 512SSD,799990,22.17
notebook hp,Ripley,HP NOTEBOOK SPECTRE X360 14-EA0510LA / INTEL CORE I5 / 8GB RAM / 512GB SSD / 13.5' TOUCH,1099990,30.48
notebook hp,Ripley,NOTEBOOK HP ZBOOK FIREFLY G9 INTEL CORE I7 16GB RAM 512GB SSD,1366990,37.88
notebook hp,Ripley,NOTEBOOK HP ZBOOK FIREFLY G9 INTEL CORE I7 16GB RAM 512GB SSD,1366990,37.88
notebook hp,Ripley,NOTEBOOK HP PROBOOK 440 G9 INTEL CORE I7 8GB RAM 512GB SSD,1097990,30.43
notebook hp,Ripley,NOTEBOOK HP PROBOOK 440 G9 INTEL CORE I5 8GB RAM 512GB SSD,959990,26.6
notebook hp,Ripley,NOTEBOOK HP ELITEBOOK 640 G9 INTEL CORE I7 16GB RAM 512GB SSD,1324990,36.72
notebook hp,Ripley,NOTEBOOK HP PROBOOK 445G8 RYZEN3 5400U 8GB RAM 256GB SSD,699990,19.4
notebook hp,Ripley,NOTEBOOK HP 240 G8 I3-1115G4 8GB 256GB SSD W10P,519990,14.41
